epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.183,1.95132,2.40883,1.04439,0.25495,0.15171,0.11073,0.05794,1.84584,1.54358,0.95813,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,225.651,1.88747,1.64217,0.99806,0.26148,0.20018,0.16464,0.0923,1.70103,1.41941,0.94262,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,323.057,1.89978,1.58024,0.99584,0.23873,0.20993,0.17411,0.09393,1.69067,1.38865,0.94455,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,418.005,1.87449,1.5276,0.99016,0.27408,0.23036,0.18976,0.10151,1.66643,1.35302,0.93479,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,512.916,1.80283,1.44344,0.98218,0.30167,0.23218,0.20459,0.1123,1.66051,1.31975,0.9304,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,608.237,1.80115,1.42029,0.97283,0.32434,0.24826,0.22626,0.12531,1.59346,1.22009,0.924,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,702.989,1.75104,1.36482,0.96276,0.33942,0.25362,0.23629,0.1313,1.58491,1.20211,0.91965,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,798.869,1.72839,1.3304,0.95806,0.35004,0.27187,0.24855,0.13701,1.57062,1.19679,0.90924,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,894.557,1.71434,1.31344,0.95419,0.34181,0.2665,0.25123,0.13748,1.5612,1.18035,0.91408,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,990.359,1.69881,1.28537,0.95115,0.35481,0.27362,0.25531,0.14067,1.55775,1.16762,0.91115,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
