epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,4741.56,1.41215,0.94125,0.8832,0.49869,0.38071,0.38951,0.22841,1.35206,0.94742,0.88292,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,4892.95,1.40884,0.93751,0.88227,0.48967,0.37693,0.38884,0.23105,1.35044,0.94453,0.88152,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,5044.38,1.40326,0.93169,0.88229,0.49539,0.37698,0.38819,0.2295,1.35032,0.94667,0.88304,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,5195.05,1.39058,0.92273,0.88385,0.50112,0.37504,0.38975,0.23006,1.35003,0.9486,0.88187,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,5346.21,1.38951,0.91826,0.88038,0.49785,0.38226,0.39524,0.23194,1.34957,0.93991,0.8822,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,5497.92,1.38775,0.91767,0.87928,0.49739,0.38096,0.3892,0.22943,1.34769,0.93881,0.87975,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,5648.65,1.38339,0.91559,0.88037,0.50547,0.37997,0.3938,0.23337,1.34262,0.93835,0.88113,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,5799.76,1.3822,0.91087,0.87857,0.49351,0.38613,0.38853,0.22914,1.34342,0.94539,0.87912,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,5951.03,1.37977,0.9066,0.87702,0.50733,0.38623,0.39241,0.23105,1.34444,0.94179,0.88173,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,6101.64,1.38008,0.90424,0.87836,0.50693,0.37713,0.39378,0.23372,1.3377,0.93308,0.88095,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,6252.55,1.37028,0.89532,0.87863,0.50282,0.38215,0.39269,0.23215,1.33768,0.93833,0.87789,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,6404,1.37375,0.90082,0.87689,0.5208,0.3837,0.39991,0.23725,1.34226,0.93409,0.88006,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,6554.5,1.37041,0.89462,0.87639,0.49968,0.38799,0.39342,0.23283,1.33671,0.93942,0.87811,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,6705.17,1.3631,0.89311,0.87706,0.50899,0.38559,0.39906,0.23597,1.33873,0.93102,0.87864,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,6855.97,1.36803,0.8931,0.87774,0.49557,0.39206,0.39834,0.23679,1.335,0.92548,0.87725,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,7006.39,1.36246,0.88712,0.87479,0.50253,0.38843,0.40017,0.23874,1.32165,0.92158,0.87647,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,7157.56,1.36099,0.88228,0.87413,0.51042,0.38648,0.40009,0.23524,1.33375,0.93654,0.87895,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,7308.83,1.36787,0.88554,0.87419,0.51298,0.39022,0.40369,0.23942,1.32942,0.92443,0.87649,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,7459.67,1.35514,0.87609,0.87342,0.5145,0.39127,0.4036,0.23867,1.33044,0.92562,0.87739,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,7610.93,1.3634,0.87914,0.8742,0.50484,0.38985,0.40163,0.23826,1.32956,0.92205,0.87645,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,7761.62,1.35283,0.87237,0.87294,0.51141,0.39134,0.40151,0.23833,1.32918,0.92253,0.87751,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,7912.91,1.36017,0.87379,0.87198,0.50678,0.38456,0.40141,0.23885,1.32993,0.92512,0.87718,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,8064.12,1.34135,0.86063,0.87298,0.50514,0.38866,0.40239,0.23896,1.33697,0.92323,0.87883,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,8215.56,1.35065,0.8633,0.87058,0.49997,0.38859,0.39953,0.23717,1.32661,0.91842,0.878,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,8366.64,1.34851,0.86208,0.87066,0.51863,0.38476,0.4002,0.2371,1.33091,0.92564,0.87746,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,8517.63,1.3352,0.85727,0.87195,0.51508,0.38144,0.39969,0.23757,1.32055,0.92012,0.87616,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
