epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,200.737,2.47952,3.16342,0.0038,0.29215,0.15364,0.11506,0.05951,2.25143,1.92442,0.00416,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,343.395,2.39785,2.16164,0.00334,0.29625,0.20155,0.17158,0.09303,2.17521,1.76387,0.00401,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,473.346,2.40397,2.01518,0.00329,0.38574,0.22068,0.19112,0.10197,2.16866,1.72872,0.00404,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,600.095,2.391,1.90365,0.00326,0.28726,0.24944,0.21195,0.11242,2.17945,1.7058,0.00397,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,726.303,2.34288,1.81909,0.00323,0.32067,0.25922,0.22665,0.12096,2.15559,1.61941,0.00392,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,852.883,2.34998,1.7844,0.00317,0.33784,0.25669,0.23364,0.1265,2.11037,1.59928,0.00385,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,979.235,2.31271,1.73144,0.00309,0.34349,0.26749,0.24645,0.13263,2.10509,1.55562,0.00386,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1106.47,2.29109,1.70374,0.00307,0.32792,0.27367,0.24367,0.13228,2.08365,1.55279,0.00378,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1233.1,2.29093,1.69829,0.00306,0.35566,0.26649,0.25107,0.13026,2.11244,1.57175,0.0038,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1359.65,2.27605,1.67878,0.00302,0.35448,0.27572,0.25452,0.13895,2.0809,1.55006,0.00377,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1486.79,2.26966,1.66412,0.003,0.37323,0.27549,0.26495,0.14571,2.06075,1.50563,0.00367,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1615.47,2.26094,1.64773,0.00299,0.346,0.28163,0.25975,0.14066,2.0581,1.53576,0.00367,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1743.33,2.26031,1.64229,0.00297,0.36659,0.27297,0.2632,0.14192,2.07235,1.52559,0.0037,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1870.72,2.2397,1.6284,0.00296,0.37064,0.28679,0.2788,0.15268,2.03686,1.50393,0.00363,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1997.88,2.23688,1.60085,0.00293,0.37479,0.28424,0.27639,0.15121,2.04079,1.50202,0.00362,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2125.78,2.2292,1.6076,0.00293,0.39087,0.29963,0.28694,0.15659,2.03197,1.49164,0.00363,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,2253.28,2.21761,1.59621,0.0029,0.36867,0.29473,0.27596,0.14906,2.07752,1.50144,0.00367,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,2380.04,2.19634,1.58229,0.0029,0.38906,0.28392,0.27764,0.14951,2.04534,1.49465,0.00362,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,2508.14,2.21673,1.57556,0.00288,0.37985,0.29733,0.28628,0.15373,2.0549,1.48002,0.0036,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,2635.65,2.20855,1.57231,0.00287,0.39313,0.29895,0.29048,0.15948,2.01208,1.45595,0.00356,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2763.03,2.20861,1.56931,0.00287,0.39577,0.29676,0.28882,0.15836,2.04428,1.47845,0.00363,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2890.05,2.21331,1.56964,0.00286,0.40293,0.3023,0.29252,0.16081,2.01259,1.45213,0.00358,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,3016.57,2.17376,1.53465,0.00284,0.38697,0.29545,0.28891,0.1581,2.02518,1.45411,0.00358,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,3144.64,2.19447,1.54538,0.0028,0.38729,0.29732,0.28828,0.15979,2.00729,1.48583,0.00357,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,3272.53,2.15858,1.5251,0.00283,0.38118,0.3116,0.29158,0.16016,2.00378,1.45302,0.00352,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,3400.84,2.18723,1.54442,0.00282,0.39383,0.3054,0.29659,0.16257,2.01221,1.4472,0.00354,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,3527.64,2.17418,1.53399,0.0028,0.39999,0.31172,0.3028,0.16723,2.00147,1.4349,0.00352,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,3655.13,2.18519,1.53599,0.00281,0.40894,0.30738,0.30503,0.16837,1.98636,1.42671,0.00352,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,3782.16,2.18016,1.53451,0.00277,0.40175,0.31678,0.30596,0.16835,1.99209,1.42969,0.00349,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,3909.61,2.17114,1.52222,0.00279,0.42794,0.30249,0.306,0.16813,1.99104,1.42854,0.00348,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,4036.95,2.17626,1.51628,0.00279,0.40014,0.3235,0.30896,0.17274,1.9774,1.42779,0.00346,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,4168.75,2.16052,1.51297,0.00277,0.39968,0.31262,0.30596,0.16961,1.97909,1.44477,0.00346,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,4298.35,2.16297,1.50923,0.00278,0.40016,0.31536,0.30261,0.16847,1.96916,1.42923,0.00346,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
