epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3791.52,1.43358,0.97295,0.89068,0.47407,0.36869,0.3758,0.22092,1.31182,0.92238,0.85883,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3911.31,1.41703,0.96115,0.88771,0.47605,0.37278,0.37567,0.22094,1.3134,0.92057,0.85882,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,4029.94,1.41906,0.96274,0.88869,0.47605,0.36817,0.37277,0.21956,1.30889,0.92386,0.85694,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4148.5,1.41254,0.95437,0.88762,0.48108,0.38123,0.38364,0.22575,1.31074,0.91548,0.8587,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4267.68,1.42395,0.96072,0.88526,0.48707,0.3732,0.38081,0.22415,1.3078,0.90939,0.85696,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4386.81,1.39978,0.94691,0.8855,0.4944,0.37096,0.38164,0.22497,1.29784,0.91244,0.85531,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4506.3,1.42509,0.95781,0.88386,0.48057,0.37599,0.38153,0.22319,1.30121,0.91537,0.85713,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4626.89,1.41027,0.95241,0.88467,0.49446,0.37413,0.38677,0.22754,1.30122,0.9084,0.85713,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4746.48,1.41685,0.95024,0.88356,0.49362,0.37104,0.38403,0.22618,1.30226,0.90734,0.85779,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4867.78,1.40469,0.9361,0.88433,0.49856,0.36369,0.38202,0.22596,1.29492,0.90984,0.85554,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4987.88,1.40678,0.93995,0.8828,0.50015,0.37783,0.38919,0.22861,1.30167,0.91114,0.85646,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,5107.27,1.39088,0.92765,0.88066,0.49362,0.37936,0.38618,0.22762,1.29099,0.90901,0.85427,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5227.5,1.39401,0.9292,0.87934,0.50056,0.37843,0.3882,0.22936,1.29512,0.90504,0.8536,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5348.04,1.3979,0.92961,0.88062,0.49191,0.37285,0.38547,0.22865,1.28887,0.90529,0.85341,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5470,1.38835,0.92781,0.8824,0.50792,0.38076,0.39415,0.23432,1.28586,0.89364,0.85292,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5594.29,1.37863,0.91909,0.87891,0.51051,0.38189,0.39533,0.2331,1.28553,0.89652,0.85417,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,5716.03,1.38494,0.9131,0.8759,0.51478,0.37312,0.39491,0.23402,1.28884,0.89471,0.85335,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5835.88,1.37942,0.90894,0.87918,0.49319,0.38592,0.39655,0.23321,1.28674,0.8993,0.85289,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5957.57,1.38213,0.91656,0.87945,0.50635,0.38094,0.3983,0.23665,1.28411,0.8908,0.85264,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,6077.14,1.3892,0.91161,0.87698,0.50343,0.38755,0.3995,0.23781,1.27722,0.88488,0.85017,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,6196.57,1.38104,0.90392,0.88012,0.49899,0.38781,0.39763,0.23461,1.27648,0.88853,0.8512,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6316.82,1.37868,0.91,0.87886,0.50537,0.37911,0.39552,0.23321,1.28034,0.88973,0.85099,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,6435.51,1.3841,0.90698,0.87769,0.49801,0.38435,0.39419,0.23334,1.28041,0.88786,0.85273,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,6556.98,1.36702,0.90011,0.87682,0.49745,0.38983,0.39696,0.23577,1.28199,0.88697,0.85231,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6677.71,1.37473,0.90666,0.87727,0.49665,0.38991,0.39885,0.23717,1.27697,0.8869,0.85066,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,6799.33,1.35974,0.8934,0.87466,0.50975,0.38827,0.40198,0.23766,1.27132,0.88198,0.85017,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,6920.89,1.38025,0.89884,0.87648,0.49755,0.39015,0.4009,0.23757,1.2713,0.88455,0.84983,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,7041.67,1.36823,0.89119,0.87311,0.51778,0.38205,0.39898,0.23677,1.2716,0.88163,0.85048,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,7161.94,1.3687,0.90157,0.87555,0.5161,0.38475,0.39797,0.23505,1.27803,0.88425,0.85053,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,7281.37,1.36077,0.88644,0.8775,0.50922,0.39115,0.40127,0.23774,1.27266,0.88009,0.85075,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,7401.27,1.35567,0.88345,0.87499,0.50696,0.38721,0.3991,0.23631,1.27863,0.88203,0.85168,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,7520.63,1.37356,0.89896,0.87345,0.50661,0.39441,0.40419,0.23981,1.26771,0.87604,0.84819,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,7640.73,1.35638,0.88615,0.87333,0.5306,0.39122,0.40816,0.24267,1.26554,0.87444,0.84917,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,7760.36,1.36455,0.88597,0.87393,0.49823,0.39243,0.40304,0.23877,1.27077,0.87923,0.84905,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,7878.97,1.35565,0.87849,0.87452,0.5025,0.39677,0.40641,0.24102,1.26703,0.8784,0.84844,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,7998.43,1.36207,0.87233,0.87286,0.52216,0.38604,0.40585,0.24188,1.26113,0.8707,0.8485,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,8120.48,1.35085,0.87562,0.87278,0.51034,0.38751,0.40373,0.24006,1.26572,0.87539,0.84941,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,8243.03,1.34855,0.8694,0.87196,0.51336,0.38604,0.40306,0.23897,1.26754,0.88001,0.8491,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,8365.06,1.35133,0.8739,0.87319,0.51342,0.38866,0.40132,0.23934,1.26324,0.87742,0.84937,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,8487.74,1.34589,0.86578,0.87452,0.51405,0.38992,0.40418,0.2405,1.26681,0.87554,0.8498,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,8609.74,1.35419,0.86966,0.8702,0.51612,0.39027,0.40589,0.24313,1.26541,0.87156,0.85001,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,8731.28,1.35707,0.86845,0.87114,0.51355,0.39817,0.40898,0.24467,1.26115,0.86938,0.84915,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
