epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3263.2,1.61379,1.16069,0.92066,0.40948,0.29146,0.29286,0.16414,1.53295,1.11943,0.91733,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3380.91,1.61091,1.15732,0.92019,0.41162,0.29914,0.30013,0.16729,1.52666,1.11019,0.91562,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3483.58,1.60385,1.15032,0.91991,0.41175,0.30222,0.29981,0.168,1.53364,1.10976,0.91659,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3585.37,1.58993,1.1418,0.92094,0.41958,0.29703,0.30061,0.16815,1.52672,1.10264,0.91355,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3688.15,1.59085,1.1379,0.9179,0.40753,0.296,0.29562,0.1662,1.52931,1.10521,0.91239,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,3790.3,1.59116,1.13995,0.91712,0.40066,0.30192,0.29697,0.16816,1.5174,1.10255,0.91121,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3891.81,1.58408,1.13697,0.91746,0.41343,0.30161,0.30003,0.16934,1.51863,1.09894,0.9112,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,3994.06,1.58676,1.13268,0.91677,0.41322,0.29768,0.29868,0.16895,1.51854,1.10795,0.91017,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4096.23,1.58274,1.13126,0.9143,0.417,0.31195,0.3074,0.17375,1.516,1.09326,0.90988,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4198.8,1.58168,1.12578,0.91581,0.42073,0.30326,0.30432,0.17236,1.51837,1.09028,0.91419,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4300.57,1.57269,1.1171,0.91614,0.41053,0.30982,0.30555,0.17299,1.50675,1.09127,0.91066,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4403.17,1.5773,1.12461,0.91471,0.42435,0.30631,0.30652,0.17455,1.50296,1.09097,0.90762,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,4505.11,1.57391,1.11865,0.91326,0.40787,0.31364,0.30905,0.17687,1.50683,1.09005,0.91252,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,4611.85,1.56809,1.11961,0.91526,0.41694,0.30986,0.30957,0.17517,1.50492,1.0813,0.91014,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,4713.88,1.57235,1.11841,0.91572,0.42213,0.31742,0.31251,0.17726,1.49701,1.07455,0.907,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,4816.69,1.56668,1.11344,0.91272,0.43406,0.31086,0.31432,0.17961,1.50206,1.08028,0.90731,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,4919.56,1.56679,1.10736,0.91234,0.42376,0.30865,0.31037,0.17547,1.49823,1.07625,0.90708,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5021.47,1.57522,1.11522,0.91205,0.4237,0.31421,0.31487,0.17952,1.48783,1.0721,0.90459,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5122.6,1.56089,1.10446,0.91142,0.42313,0.31877,0.31371,0.17851,1.49704,1.07186,0.90612,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,5223.59,1.57247,1.1093,0.91305,0.43093,0.31484,0.31731,0.1804,1.49682,1.07121,0.90704,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,5325.07,1.55957,1.10248,0.91119,0.42815,0.32115,0.31852,0.18009,1.49317,1.07028,0.90475,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,5426.49,1.56761,1.10583,0.90995,0.44384,0.31082,0.31779,0.18176,1.48482,1.06297,0.90448,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,5528.49,1.5507,1.09097,0.91134,0.43705,0.30915,0.31636,0.17991,1.49281,1.06973,0.90546,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,5630.66,1.56067,1.09794,0.90909,0.42942,0.31464,0.31631,0.18043,1.48428,1.06357,0.90509,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
