epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3441.55,1.57353,1.11638,0.91412,0.41117,0.31484,0.30769,0.1739,1.48321,1.08699,0.90862,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3549.7,1.57008,1.11233,0.91301,0.40741,0.31742,0.31036,0.17453,1.48913,1.08785,0.90995,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3658.29,1.56451,1.10751,0.9135,0.41926,0.31136,0.31336,0.1767,1.49437,1.09216,0.90876,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3766.31,1.55074,1.09794,0.91401,0.40551,0.32062,0.31119,0.17711,1.48565,1.07382,0.9079,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3875.16,1.55121,1.0962,0.91112,0.41374,0.31788,0.31433,0.17927,1.48219,1.07144,0.90545,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,3984.25,1.54973,1.09565,0.91012,0.41579,0.31889,0.31121,0.17588,1.48246,1.08087,0.90616,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4092.52,1.5456,1.09384,0.91161,0.41374,0.31306,0.31034,0.17657,1.47966,1.07732,0.90481,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4201.19,1.54745,1.08945,0.91014,0.41961,0.31698,0.31377,0.17883,1.48156,1.0736,0.90503,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4311.66,1.54238,1.08503,0.90804,0.41707,0.31629,0.31315,0.17783,1.47858,1.07433,0.90522,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4420.34,1.54031,1.08233,0.90906,0.4188,0.32158,0.31653,0.18169,1.47178,1.06259,0.90368,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
